vk_id,friends_count,photo_count,likes_total,average_likes,groups_count,average_member,male_ratio,female_ratio,unknown_ratio,Extraversion,Agreeableness,Conscientiousness,Neuroticism,Openness,pe_0,pe_1,pe_2,pe_3,pagerank,degree,clustering,betweenness
35100,0.3208191,0.48634812,0.58361775,0.7337884,0.36177474,0.77474403,0.07508533,0.9522184,0.0,0.15358362,0.22696246,0.081911266,0.5699659,0.32593855,0.42132777,1.881986,1.458648,1.0030622,-0.29827157,-0.3633166,-0.49871162,-0.12479389
1845588,0.4095563,0.5068259,0.45051193,0.52047783,0.25255972,0.4573379,0.7440273,0.28327644,0.0,0.29863483,0.22696246,0.7457338,0.29863483,0.86860067,0.7076723,1.5140992,4.0971375,1.1786982,-1.4918027,-1.5399195,-0.26935354,-0.8741729
2724404,0.90102386,0.39419794,0.5221843,0.77474403,0.29351535,0.21843003,0.7679181,0.26279864,0.0,0.84641635,0.6672355,0.8976109,0.052901022,0.39761093,1.0090697,1.2449055,5.424796,1.6721393,-1.7017492,-1.7615982,-0.65784746,-0.92276365
872860,0.8498294,0.887372,0.80546075,0.53583616,0.7372014,0.4095563,0.552901,0.4641638,0.9897611,0.5870307,0.33959043,0.51365185,0.3208191,0.32593855,-0.54585445,0.5900418,-0.7367252,0.37497875,-0.033167418,-0.005220066,0.03690603,-0.3859059
1617375,0.93856657,0.6825939,0.66040957,0.64846414,0.98634815,0.36177474,0.72696245,0.3003413,0.0,0.5546075,0.40784982,0.7457338,0.54266214,0.7013652,-0.6119144,0.41401535,1.5684763,1.0971652,1.4986386,1.4101138,-1.0386341,3.0156095
4396908,0.61604095,0.9419795,0.887372,0.5324232,0.71672356,0.83617747,0.45392492,0.5767918,0.0,0.87030715,0.011945393,0.013651877,0.29863483,0.13822526,-0.21372704,0.8820505,-0.6724714,-1.6842626,0.7005938,0.67686856,-0.9697031,0.72658706
4037197,0.38054606,0.66382253,0.54948807,0.4880546,0.085324235,0.5153584,0.81569964,0.21160409,0.0,0.5238908,0.44027305,0.22354949,0.34129694,0.17576791,-0.9385067,0.11869364,0.9508081,-5.275356,-1.4603852,-1.4887629,0.089135855,-0.8299234
4713348,0.9351536,0.45051193,0.6450512,0.83959043,0.97952217,0.12286689,0.46075085,0.5665529,0.93856657,0.40784982,0.17406143,0.23720136,0.3208191,0.17576791,-1.251529,-0.28984183,0.42021006,0.739889,0.54819214,0.52339864,0.07959869,0.70296377
6144960,0.17576791,0.7986348,0.57337886,0.34812286,0.023890786,0.013651877,0.17918089,0.8481229,0.0,0.7133106,0.6109215,0.60580206,0.6040956,0.52901024,1.8955992,-2.0981421,0.02007686,-0.10880068,-0.93826747,-0.9260397,2.3545015,-0.9934852
8045341,0.54948807,0.69283277,0.778157,0.8225256,0.7303754,0.8327645,0.31740615,0.70989764,0.0,0.49658704,0.8020478,0.78156996,0.3651877,0.28668943,-0.5287083,0.3855069,-0.98896897,0.8706116,1.0668532,1.103174,-0.46974596,0.46715778
5574745,0.5767918,0.890785,0.8191126,0.5392491,0.70307165,0.3003413,0.16040955,0.8668942,0.0,0.8242321,1.0,0.78156996,0.6877133,0.7474403,-0.038099412,-1.2388318,0.01850254,0.6062875,1.0979426,1.1372783,-0.6190519,0.70259446
7124755,0.8225256,0.9351536,0.87030715,0.5153584,0.99658704,0.3686007,0.70989764,0.31740615,0.0,1.0,1.0,1.0,1.0,1.0,-0.6891921,0.39723366,-0.67451143,0.6062954,1.0330637,1.0520173,-0.5487968,0.72000366
8126979,0.34300342,0.3139932,0.34812286,0.47440273,0.03924915,0.10921501,0.93856657,0.088737205,0.0,1.0,1.0,1.0,1.0,1.0,2.0226347,-1.7537998,1.0083218,0.01410928,-0.8105886,-0.8237264,1.499617,-0.82039124
10968521,0.52901024,0.7525597,0.9146758,0.9453925,0.07337884,0.98293513,0.27986348,0.7474403,0.0,0.6825939,0.40784982,0.38225257,0.21843003,0.28668943,0.043973792,0.8372139,-1.0121928,1.0132488,-1.6986834,-1.6763371,1.9208571,-1.0032325
